nearest station,count,average_price_per_sqm
お台場海浜公園,36,105.9765625
お花茶屋,256,45.91529411764706
すずかけ台,22,45.50143266475645
つくし野,10,43.724137931034484
つつじケ丘,98,51.75033921302578
とうきょうスカイツリー,104,82.23188405797102
ときわ台(東京),335,66.70352855583849
ひばりケ丘(東京),174,52.66268894192522
めじろ台,76,26.584269662921347
一之江,102,52.954375467464466
一橋学園,121,43.779617834394905
万願寺,12,40.12738853503185
三ノ輪,511,77.71905002526528
三ノ輪橋,3,104.44444444444444
三河島,121,72.04787234042553
三田(東京),228,135.41950113378684
三越前,21,112.58741258741259
三軒茶屋,478,105.91092481006025
三鷹,519,80.20103696270279
三鷹台,62,72.1881051175657
上中里,10,83.10344827586206
上井草,55,63.75301204819278
上北台,19,20.09090909090909
上北沢,95,79.06982543640898
上板橋,327,58.469051446945336
上町,139,78.49509433962264
上石神井,157,59.57962697274032
上野,136,138.57585139318886
上野御徒町,8,101.66666666666666
上野毛,175,88.29268292682926
下丸子,103,79.45064377682404
下井草,83,67.77922077922078
下北沢,36,108.62068965517241
下板橋,138,91.93103448275862
下神明,39,104.8743169398907
下落合,238,95.3557748113755
下赤塚,73,54.83384615384615
下高井戸,94,81.90556492411467
不動前,313,114.98259813840549
世田谷,36,71.5938864628821
世田谷代田,26,102.02051282051282
両国,766,90.76113671274962
中井,121,84.12810457516339
中央大学・明星大学,18,30.290456431535272
中延,60,101.9647355163728
中村橋,287,69.45377358490566
中板橋,141,69.24750277469478
中河原,106,41.878531073446325
中目黒,239,129.47301854974705
中神,72,35.48995983935743
中野(東京),302,98.96815769522365
中野坂上,279,95.7609090909091
中野富士見町,160,86.63207547169812
中野新橋,149,92.42718446601941
乃木坂,128,163.68744512730464
久が原,68,87.2785234899329
久我山,98,73.38199052132701
久米川,171,35.073370959466395
九品仏,45,94.20654911838791
九段下,69,140.53075571177504
亀戸,680,82.90828025477707
亀戸水神,44,70.1391304347826
亀有,328,54.04398148148148
二子玉川,169,112.13261648745521
五反田,424,116.18654822335024
五反野,158,45.576430205949656
井の頭公園,14,65.40084388185655
井荻,137,69.52116788321167
京急蒲田,271,93.66468489892985
京成小岩,68,49.42444152431012
京成曳舟,138,79.95685936151855
京成立石,173,52.059210526315795
京成金町,6,48.85714285714286
京成関屋,96,59.08957415565345
京成高砂,84,43.349081364829395
京橋(東京),9,250.55555555555554
京王よみうりランド,24,48.373333333333335
京王八王子,194,36.84892926670993
京王堀之内,181,32.85326086956522
京王多摩センター,267,31.970892945239267
京王多摩川,108,42.722504230118446
京王永山,260,31.14424492198999
京王片倉,1,53.333333333333336
人形町,213,119.17673888255416
仙川,101,65.79718726868985
代々木,89,125.67567567567566
代々木上原,95,140.289592760181
代々木八幡,86,146.8871989860583
代々木公園,100,140.9596412556054
代官山,112,178.86567164179107
代田橋,161,98.21296296296296
仲御徒町,60,97.95724465558195
住吉(東京),313,82.75630252100841
保谷,89,48.46863468634687
信濃町,51,127.03339882121809
光が丘,236,61.49470899470899
入谷(東京),430,84.62913096695227
八丁堀(東京),343,112.26430123099203
八坂(東京),60,37.19592875318066
八幡山,168,72.48511904761905
八広,132,63.93785310734464
八潮,3,34.59459459459459
八王子,481,48.11632213608958
八王子みなみ野,39,34.7289156626506
六本木,224,215.30166880616173
六本木一丁目,79,202.4390243902439
六町,89,40.236538461538466
六郷土手,137,68.88571428571429
内幸町,6,76.08695652173914
分倍河原,58,49.085137085137085
初台,267,108.62172284644195
勝どき,904,112.25839892493761
北八王子,29,32.601036269430054
北千住,332,82.98176997016904
北千束,19,93.89024390243902
北参道,79,137.6584564860427
北品川,96,103.6042496679947
北府中,50,45.86259541984733
北池袋,216,87.33603238866397
北綾瀬,360,44.948834565093804
北赤羽,232,65.37268847795164
北野(東京),72,35.951690821256044
十条(東京),71,82.64591439688715
千住大橋,186,74.09406734366648
千川,81,80.33561643835617
千歳烏山,260,74.90700179533214
千歳船橋,307,77.34411764705882
千石,185,103.51432291666666
千駄ケ谷,37,153.55828220858896
千駄木,184,89.19131614654002
千鳥町,141,78.88183421516754
半蔵門,137,202.24302325581397
南千住,369,64.91842751842752
南多摩,14,33.756097560975604
南大沢,181,29.258797882279666
