nearest station,nearest station distance_minutes,間取り,area_square,建物の構造,architectural year,total_price
飯田橋,3,１ＬＤＫ,60,ＲＣ,2,130000000
飯田橋,3,２ＬＤＫ,60,ＲＣ,2,150000000
飯田橋,3,１Ｋ,15,ＳＲＣ,38,13000000
飯田橋,2,１ＬＤＫ,45,ＳＲＣ,41,44000000
飯田橋,0,３ＬＤＫ,55,ＳＲＣ,39,70000000
飯田橋,3,２ＬＤＫ,60,ＲＣ,2,150000000
飯田橋,2,２ＬＤＫ,60,ＲＣ,2,130000000
飯田橋,3,１Ｋ,15,ＳＲＣ,38,11000000
飯田橋,3,１ＬＤＫ,30,ＲＣ,25,32000000
飯田橋,3,２ＬＤＫ,80,ＳＲＣ,38,95000000
飯田橋,3,１Ｒ,30,ＳＲＣ,38,21000000
飯田橋,5,１ＤＫ,35,ＲＣ,16,59000000
飯田橋,5,１Ｋ,20,ＲＣ,20,23000000
飯田橋,5,１ＤＫ,20,ＲＣ,20,26000000
飯田橋,4,２ＬＤＫ,60,ＲＣ,16,88000000
飯田橋,1,３ＬＤＫ,55,ＳＲＣ,39,65000000
飯田橋,4,１ＬＤＫ,30,ＲＣ,10,40000000
飯田橋,4,３ＬＤＫ,80,ＲＣ,16,130000000
飯田橋,3,１ＬＤＫ,35,ＳＲＣ,38,36000000
飯田橋,4,２ＬＤＫ,65,ＲＣ,16,100000000
飯田橋,3,１ＬＤＫ,35,ＳＲＣ,38,24000000
飯田橋,4,１Ｋ,20,ＳＲＣ,41,13000000
飯田橋,3,１Ｋ,30,ＳＲＣ,38,22000000
飯田橋,1,２ＬＤＫ,70,ＳＲＣ,39,69000000
飯田橋,3,１Ｋ,25,ＳＲＣ,38,21000000
飯田橋,4,３ＬＤＫ,70,ＲＣ,16,81000000
九段下,4,２ＬＤＫ,65,ＲＣ,20,130000000
九段下,4,１ＤＫ,85,ＲＣ,20,150000000
九段下,4,１ＤＫ,20,ＳＲＣ,26,27000000
九段下,4,２ＬＤＫ,60,ＲＣ,20,110000000
九段下,4,２ＬＤＫ,65,ＲＣ,20,98000000
九段下,4,１Ｋ,20,ＳＲＣ,19,30000000
九段下,4,２ＬＤＫ,85,ＲＣ,20,140000000
九段下,4,１Ｋ,20,ＳＲＣ,26,25000000
九段下,4,１Ｋ,20,ＳＲＣ,26,22000000
九段下,4,１Ｋ,20,ＳＲＣ,26,21000000
九段下,4,２ＬＤＫ,70,ＲＣ,20,100000000
九段下,4,２ＬＤＫ,65,ＲＣ,20,98000000
九段下,4,１Ｋ,20,ＳＲＣ,26,20000000
九段下,4,１Ｋ,20,ＳＲＣ,26,24000000
九段下,4,１ＬＤＫ,50,ＲＣ,20,63000000
九段下,4,２ＬＤＫ,65,ＲＣ,20,98000000
九段下,4,１Ｋ,20,ＳＲＣ,19,31000000
九段下,4,１ＬＤＫ,55,ＲＣ,20,62000000
九段下,4,１Ｋ,20,ＳＲＣ,19,26000000
九段下,3,１Ｋ,20,ＳＲＣ,26,19000000
麹町,3,１ＬＤＫ,40,ＲＣ,11,56000000
麹町,3,１ＬＤＫ,40,ＲＣ,11,58000000
半蔵門,2,２ＬＤＫ,55,ＲＣ,46,70000000
半蔵門,3,２ＬＤＫ,70,ＲＣ,1,190000000
半蔵門,5,３ＬＤＫ,200,ＳＲＣ,39,350000000
半蔵門,1,１ＬＤＫ,40,ＳＲＣ,39,52000000
半蔵門,1,２ＬＤＫ,40,ＳＲＣ,39,47000000
半蔵門,2,２ＬＤＫ,115,ＲＣ,20,240000000
半蔵門,1,１ＬＤＫ,55,ＳＲＣ,39,66000000
半蔵門,1,１ＬＤＫ,45,ＲＣ,10,53000000
半蔵門,5,３ＬＤＫ,200,ＳＲＣ,39,430000000
半蔵門,2,１ＬＤＫ,45,ＲＣ,14,85000000
半蔵門,0,２ＬＤＫ,80,ＳＲＣ,39,130000000
半蔵門,3,１ＬＤＫ,75,ＳＲＣ,19,150000000
半蔵門,3,２ＬＤＫ,90,ＲＣ,4,210000000
半蔵門,2,３ＬＤＫ,160,ＲＣ,20,260000000
半蔵門,3,２ＬＤＫ,70,ＲＣ,4,170000000
半蔵門,2,２ＤＫ,55,ＲＣ,7,120000000
半蔵門,3,２ＬＤＫ,105,ＲＣ,7,270000000
半蔵門,3,３ＬＤＫ,85,ＲＣ,4,220000000
半蔵門,0,１Ｋ,20,ＳＲＣ,47,16000000
半蔵門,2,２ＬＤＫ,85,ＳＲＣ,22,130000000
半蔵門,3,２ＬＤＫ,105,ＲＣ,7,240000000
半蔵門,2,１ＬＤＫ,45,ＲＣ,14,73000000
半蔵門,2,２ＬＤＫ,85,ＳＲＣ,22,170000000
半蔵門,1,１ＬＤＫ,55,ＳＲＣ,39,58000000
半蔵門,1,１ＬＤＫ,55,ＳＲＣ,39,51000000
半蔵門,2,３ＬＤＫ,115,ＳＲＣ,22,2500000000
半蔵門,0,１Ｋ,20,ＳＲＣ,47,11000000
半蔵門,1,３ＬＤＫ,95,ＳＲＣ,39,140000000
半蔵門,2,１ＤＫ,35,ＲＣ,46,48000000
半蔵門,1,１Ｋ,40,ＳＲＣ,39,49000000
半蔵門,2,２ＬＤＫ,80,ＳＲＣ,22,150000000
半蔵門,2,１ＬＤＫ,45,ＲＣ,13,68000000
半蔵門,3,３ＬＤＫ,95,ＲＣ,4,220000000
